aname,yob,yod,period
Claude Monet,1840,1926,Impressionism
Gustav Klimt,1862,1918,Modern
Pablo Picasso,1881,1973,Cubism
Salvador Dali,1904,1989,Surrealism
Michelangelo,1475,1564,Renaissance
